Timestamp,Environment,Scenario,Mode,PrimaryChannel,PrimaryBand,PrimaryWidth_MHz,PrimaryLinkRate_Mbps,SecondaryChannel,SecondaryBand,SecondaryWidth_MHz,SecondaryLinkRate_Mbps,PrimaryCCI,PrimaryACI,PrimaryNeighbors,SecondaryCCI,SecondaryACI,SecondaryNeighbors,Streams,Throughput_Mbps,Retransmits,Run,Distance,Material,PartitionAmount,PartitionThickness,Connection,PrimaryRSSI,SecondaryRSSI
2/25/2026 10:36,Home-LOS,1.5m Home LOS MLO Wired,MLO,157,5GHz,80,1441,5,6GHz,160,1441,2,1,6,0,0,6,8,1468.72,0,2,1.5,,0,0,Wired,-32,-46
2/25/2026 10:37,Home-LOS,1.5m Home LOS MLO Wired,MLO,157,5GHz,80,1441,5,6GHz,160,1441,2,1,6,0,0,6,8,1361.14,0,3,1.5,,0,0,Wired,-32,-46
2/25/2026 10:37,Home-LOS,1.5m Home LOS MLO Wired,MLO,157,5GHz,80,1441,5,6GHz,160,1441,2,1,6,0,0,6,8,1346.66,0,4,1.5,,0,0,Wired,-32,-46
2/25/2026 10:38,Home-LOS,1.5m Home LOS MLO Wired,MLO,157,5GHz,80,1441,5,6GHz,160,1441,2,1,6,0,0,6,8,1501.79,0,5,1.5,,0,0,Wired,-32,-46
2/25/2026 10:38,Home-LOS,1.5m Home LOS MLO Wired,MLO,157,5GHz,80,1441,5,6GHz,160,1441,2,1,6,0,0,6,8,1344.04,0,6,1.5,,0,0,Wired,-32,-46
2/25/2026 10:39,Home-LOS,1.5m Home LOS MLO Wired,MLO,157,5GHz,80,1441,5,6GHz,160,1441,2,1,6,0,0,6,8,1412.74,0,7,1.5,,0,0,Wired,-32,-46
2/25/2026 10:40,Home-LOS,1.5m Home LOS MLO Wired,MLO,157,5GHz,80,1441,5,6GHz,160,1441,2,1,6,0,0,6,8,1526.8,0,8,1.5,,0,0,Wired,-32,-46
2/25/2026 10:40,Home-LOS,1.5m Home LOS MLO Wired,MLO,157,5GHz,80,1441,5,6GHz,160,1441,2,1,6,0,0,6,8,1524.14,0,9,1.5,,0,0,Wired,-32,-46
2/25/2026 10:41,Home-LOS,1.5m Home LOS MLO Wired,MLO,157,5GHz,80,1441,5,6GHz,160,1441,2,1,6,0,0,6,8,1442.66,0,10,1.5,,0,0,Wired,-32,-46
2/25/2026 9:26,Home-LOS,1.5m Home LOS 6GHz Wireless,Standard,5,6GHz,160,2882,,,,,0,0,6,,,,4,509.8,0,1,1.5,,0,0,Wireless,-46,
2/25/2026 9:27,Home-LOS,1.5m Home LOS 6GHz Wireless,Standard,5,6GHz,160,2882,,,,,0,0,6,,,,4,530.17,0,2,1.5,,0,0,Wireless,-46,
2/25/2026 9:28,Home-LOS,1.5m Home LOS 6GHz Wireless,Standard,5,6GHz,160,2882,,,,,0,0,6,,,,4,533.31,0,3,1.5,,0,0,Wireless,-46,
2/25/2026 9:29,Home-LOS,1.5m Home LOS 6GHz Wireless,Standard,5,6GHz,160,2882,,,,,0,0,6,,,,4,527.16,0,4,1.5,,0,0,Wireless,-46,
2/25/2026 9:29,Home-LOS,1.5m Home LOS 6GHz Wireless,Standard,5,6GHz,160,2882,,,,,0,0,6,,,,4,523.74,0,5,1.5,,0,0,Wireless,-46,
2/25/2026 9:30,Home-LOS,1.5m Home LOS 6GHz Wireless,Standard,5,6GHz,160,2882,,,,,0,0,6,,,,4,539.81,0,6,1.5,,0,0,Wireless,-46,
2/25/2026 9:30,Home-LOS,1.5m Home LOS 6GHz Wireless,Standard,5,6GHz,160,2882,,,,,0,0,6,,,,4,536.43,0,7,1.5,,0,0,Wireless,-46,
2/25/2026 9:31,Home-LOS,1.5m Home LOS 6GHz Wireless,Standard,5,6GHz,160,2882,,,,,0,0,6,,,,4,540.27,0,8,1.5,,0,0,Wireless,-46,
2/25/2026 9:32,Home-LOS,1.5m Home LOS 6GHz Wireless,Standard,5,6GHz,160,2882,,,,,0,0,6,,,,4,518.08,0,9,1.5,,0,0,Wireless,-46,
2/25/2026 9:32,Home-LOS,1.5m Home LOS 6GHz Wireless,Standard,5,6GHz,160,2882,,,,,0,0,6,,,,4,534.67,0,10,1.5,,0,0,Wireless,-46,
2/25/2026 9:54,Home-LOS,1.5m Home LOS 5GHz Wireless,Standard,40,5GHz,160,2882,,,,,0,0,7,,,,4,647.74,0,1,1.5,,0,0,Wireless,-32,
